date,equity,net_return,gross_return,turnover,cost,exposure,benchmark_net_return,benchmark_equity
2017-03-24,224426.8865079,0.0017705614674332624,0.0017705614674332624,0.0,0.0,1.0,-0.0007263988228056739,212032.34148844503
2017-03-27,224479.483185941,0.0002343599684486718,0.0002343599684486718,0.0,0.0,1.0,-0.0010262674372675251,211814.73960072786
2017-03-28,225727.44083158832,0.0055593394457951195,0.0055593394457951195,0.0,0.0,1.0,0.007276509945477239,213356.01166003122
2017-03-29,226452.2015609604,0.003210778125610473,0.003210778125610473,0.0,0.0,1.0,0.000934958706552802,213555.49072072812
2017-03-30,226750.9753727308,0.0013193681037804896,0.0013193681037804896,0.0,0.0,1.0,0.003184398984108272,214235.53660842995
2017-03-31,226287.31733199113,-0.0020447896198794164,-0.0020447896198794164,0.0,0.0,1.0,-0.0023276141346617596,213736.87894527335
2017-04-03,225073.20004285392,-0.0053653793038518725,-0.005032045970518539,0.6666666666666666,0.0003333333333333333,1.0,-0.0017393623645149958,213365.11306212703
2017-04-04,225846.87324789053,0.003437429266964257,0.003437429266964257,0.0,0.0,1.0,0.0006373730932596189,213501.10624423312
2017-04-05,224834.4044170034,-0.004482988036659178,-0.004482988036659178,0.0,0.0,1.0,-0.002972438248953324,212866.48738983893
2017-04-06,225767.08734402963,0.004148310528562904,0.004148310528562904,0.0,0.0,1.0,0.0028112512871063533,213464.90857649542
2017-04-07,225889.73808921257,0.0005432622913544108,0.0005432622913544108,0.0,0.0,1.0,-0.0010198297311463378,213247.2107161727
2017-04-10,226671.27785795846,0.0034598285666133464,0.0034598285666133464,0.0,0.0,1.0,0.0005954204828997334,213374.18247335433
2017-04-11,227091.82609665045,0.0018553221328533316,0.0018553221328533316,0.0,0.0,1.0,-0.0011897575154090623,213120.3189361624
2017-04-12,225758.14906204114,-0.005872853539174289,-0.005872853539174289,0.0,0.0,1.0,-0.004381775739723981,212186.47349300567
2017-04-13,224965.5013804643,-0.0035110479283697593,-0.0035110479283697593,0.0,0.0,1.0,-0.00649492214355496,210808.33886775313
2017-04-17,226034.63270011105,0.00475242342975335,0.00475242342975335,0.0,0.0,1.0,0.008859814973228408,212676.06174493502
2017-04-18,225645.4840725938,-0.001721632755426287,-0.001721632755426287,0.0,0.0,1.0,-0.002984119792587947,212041.4108996723
2017-04-19,224713.42006330905,-0.004130656605495756,-0.004130656605495756,0.0,0.0,1.0,-0.0018388893913726667,211651.49019863718
2017-04-20,225998.46080631373,0.005718575876076566,0.005718575876076566,0.0,0.0,1.0,0.008139287245746862,213374.18247335425
2017-04-21,225064.81396220607,-0.004131208862116376,-0.004131208862116376,0.0,0.0,1.0,-0.003186804973697721,212694.2005673895
2017-04-24,226654.83692716504,0.007064733651462689,0.007064733651462689,0.0,0.0,1.0,0.01099774373246909,215033.35687861202
2017-04-25,228289.52663765952,0.007212242776975482,0.007212242776975482,0.0,0.0,1.0,0.005818756996452068,216284.58372842002
2017-04-26,228167.27512535345,-0.000535510823061728,-0.000535510823061728,0.0,0.0,1.0,-0.0006291394279320794,216148.51056914259
2017-04-27,228194.4646293764,0.00011916478385431994,0.00011916478385431994,0.0,0.0,1.0,0.0008393313233387989,216329.93078455626
2017-04-28,227103.95337110426,-0.0047788681467069525,-0.0047788681467069525,0.0,0.0,1.0,-0.0021796032084042682,215858.4173733444
2017-05-01,228571.88434555323,0.006463696261818345,0.006797029595151678,0.6666666666666666,0.0003333333333333333,1.0,0.002520118188941378,216402.40609720306
2017-05-02,228861.28503831572,0.001266125506166856,0.001266125506166856,0.0,0.0,1.0,0.0003771894338766568,216484.0307982484
2017-05-03,227637.93900456882,-0.0053453603283846185,-0.0053453603283846185,0.0,0.0,1.0,-0.001214338818189331,216221.14583613197
2017-05-04,226714.3471705451,-0.004057284291284971,-0.004057284291284971,0.0,0.0,1.0,0.0011737961820221798,216474.9453915869
2017-05-05,228102.7260908003,0.006123912922064859,0.006123912922064859,0.0,0.0,1.0,0.003937253399811214,217327.26210630385
2017-05-08,227932.39807439156,-0.0007467162682700905,-0.0007467162682700905,0.0,0.0,1.0,-0.00016692634213233415,217290.98446139484
2017-05-09,229128.36232346864,0.005247012970428066,0.005247012970428066,0.0,0.0,1.0,-0.0009181745485666859,217091.4734098294
2017-05-10,230154.11553192468,0.004476762274449115,0.004476762274449115,0.0,0.0,1.0,0.0017959651019112677,217481.36211999593
2017-05-11,229727.11620874496,-0.0018552756364699958,-0.0018552756364699958,0.0,0.0,1.0,-0.0020428103922600638,217037.08893333437
2017-05-12,229811.57575864502,0.00036765163509603705,0.00036765163509603705,0.0,0.0,1.0,-0.0016708318931304422,216674.45644315233
2017-05-15,231431.38943095205,0.00704844247710216,0.00704844247710216,0.0,0.0,1.0,0.00552339399494417,217871.2348347282
2017-05-16,231855.12075781057,0.001830915537863816,0.001830915537863816,0.0,0.0,1.0,-0.0009153621153586977,217671.8037603341
2017-05-17,226488.49138878897,-0.023146477642938975,-0.023146477642938975,0.0,0.0,1.0,-0.017744372195613978,213809.35425792006
2017-05-18,226169.94343275164,-0.001406464205240895,-0.001406464205240895,0.0,0.0,1.0,0.004028757904133151,214670.74038386426
2017-05-19,228459.73148319157,0.010124192523932003,0.010124192523932003,0.0,0.0,1.0,0.006503957937972427,216066.9498498343
2017-05-22,229689.6244238709,0.005383412353217339,0.005383412353217339,0.0,0.0,1.0,0.005077717054266628,217164.07668595016
2017-05-23,230092.6645836943,0.0017547164389088985,0.0017547164389088985,0.0,0.0,1.0,0.0022124785173109895,217644.5475403495
2017-05-24,230793.37786742524,0.0030453525539317905,0.0030453525539317905,0.0,0.0,1.0,0.0023329004818006815,218152.29061016766
2017-05-25,231870.4176614469,0.004666684130947581,0.004666684130947581,0.0,0.0,1.0,0.004779662731946077,219194.98498348572
2017-05-26,232263.75558250703,0.0016963695715354423,0.0016963695715354423,0.0,0.0,1.0,-0.00020666106862310407,219149.68591365224
2017-05-30,231313.55319863796,-0.004091048908969866,-0.004091048908969866,0.0,0.0,1.0,-0.0008689295816693976,218959.26026874827
2017-05-31,230612.89509132394,-0.003029040441535809,-0.003029040441535809,0.0,0.0,1.0,-0.0002485963038558747,218904.82780595045
2017-06-01,233048.1877636244,0.010560088894144688,0.010560088894144688,0.0,0.0,1.0,0.007952164111143745,220645.59492138503
2017-06-02,234831.26645315156,0.007651115877097991,0.007651115877097991,0.0,0.0,1.0,0.0033286971141528454,221380.0572764504
2017-06-05,234234.1770292693,-0.0025426317070149267,-0.0025426317070149267,0.0,0.0,1.0,-0.0007374169295060184,221216.8078743597
2017-06-06,233888.292983855,-0.0014766591699001777,-0.0014766591699001777,0.0,0.0,1.0,-0.003196746897342062,220509.63373014744
2017-06-07,234173.4914859168,0.0012193791250659038,0.0012193791250659038,0.0,0.0,1.0,0.0018502390795853696,220917.62927190005
2017-06-08,235790.4818769255,0.006905095793500477,0.006905095793500477,0.0,0.0,1.0,0.0004923507161855856,221026.3982248901
2017-06-09,233632.5733820381,-0.009151804931692578,-0.009151804931692578,0.0,0.0,1.0,-0.0015176479127764209,220690.9579729556
2017-06-12,232677.06520691433,-0.004089790054922307,-0.004089790054922307,0.0,0.0,1.0,-0.00020555011400202883,220645.59492138503
2017-06-13,234076.32315168812,0.006013733856963613,0.006013733856963613,0.0,0.0,1.0,0.0048902132375681084,221724.59893048066
2017-06-14,233257.25024875763,-0.0034991702360247143,-0.0034991702360247143,0.0,0.0,1.0,-0.0012679502137645793,221443.46317786988
2017-06-15,231711.87621349416,-0.006625191858411298,-0.006625191858411298,0.0,0.0,1.0,-0.0019240594251715981,221017.39279539988
2017-06-16,231315.81683337883,-0.001709275271460068,-0.001709275271460068,0.0,0.0,1.0,0.0002184181977531452,221065.66701600637
2017-06-19,233944.0520769323,0.011362107786371773,0.011362107786371773,0.0,0.0,1.0,0.008325140218752525,222906.0696914667
2017-06-20,231681.81789457245,-0.009669979477041513,-0.009669979477041513,0.0,0.0,1.0,-0.006744234875756372,221402.73880223572
2017-06-21,232422.83398472163,0.0031984214250528145,0.0031984214250528145,0.0,0.0,1.0,-0.0002467919039251809,221348.09839879247
2017-06-22,233091.36914482166,0.002876374703115414,0.002876374703115414,0.0,0.0,1.0,-0.0004528043918990976,221247.87100769897
2017-06-23,234319.90788802426,0.005270631631320984,0.005270631631320984,0.0,0.0,1.0,0.001194264954465174,221512.0995862935
2017-06-26,234802.03752619636,0.002057570107967403,0.002057570107967403,0.0,0.0,1.0,0.0006581960244238516,221657.897969603
