lookback_months,holdings,rebalance,cost_bps,sharpe,cagr,ann_volatility,max_drawdown,calmar,sortino,ann_turnover,avg_exposure,n_periods
9,2,weekly,10,0.27769808923597844,0.02945467043482175,0.13984599136221595,-0.4039008130272429,0.07292550419509813,0.37963418050695674,11.911373707533237,0.7999999999999998,2708
9,2,weekly,20,0.192471994877794,0.017260765700289227,0.1398831601353737,-0.40582385851681235,0.042532653854736716,0.26230408854369575,11.911373707533237,0.7999999999999998,2708
9,2,monthly,0,0.24667372085358705,0.024702092142053766,0.1369905663668559,-0.2632614673565816,0.09383102050629896,0.3432431907978046,5.73234859675037,0.7999999999999998,2708
9,2,monthly,5,0.22578107411551646,0.02177202999073158,0.1369725011289247,-0.2635574331495214,0.08260829425508887,0.31388865388208664,5.73234859675037,0.7999999999999998,2708
9,2,monthly,10,0.20486782062366485,0.0188489060407393,0.13696452690999622,-0.2638533989424615,0.07143704085786547,0.284563783375956,5.73234859675037,0.7999999999999998,2708
9,2,monthly,20,0.16299797011934616,0.013023420026975874,0.13697885634835796,-0.2644453305283412,0.04924806197544156,0.22601235593975288,5.73234859675037,0.7999999999999998,2708
9,2,quarterly,0,0.2270099893213239,0.021661177066828907,0.13395853342904027,-0.27804592677682305,0.07790503287687259,0.3144044633650775,3.1267355982274747,0.7999999999999998,2708
9,2,quarterly,5,0.21532820819302534,0.02006428802253679,0.13396552958010105,-0.2789128959808739,0.07193746976802634,0.29804969012856136,3.1267355982274747,0.7999999999999998,2708
9,2,quarterly,10,0.20363761866251867,0.018468984465028093,0.13397912342618098,-0.2797791708667834,0.06601272141814332,0.2817023391845905,3.1267355982274747,0.7999999999999998,2708
9,2,quarterly,20,0.18023694573010343,0.015283130637689935,0.1340260951988438,-0.28150963879667257,0.05428990177039217,0.2490369449019417,3.1267355982274747,0.7999999999999998,2708
9,3,weekly,0,0.44536782199077574,0.0592201437146318,0.1568862292842265,-0.3505705533441482,0.16892503705665363,0.6159376160431285,12.097488921713442,1.0,2708
9,3,weekly,5,0.4068789154721399,0.05283786623999531,0.15686075475733233,-0.3512225621650188,0.15043984052246026,0.5618735975707954,12.097488921713442,1.0,2708
9,3,weekly,10,0.36834607933113095,0.046491698313404495,0.1568486609654138,-0.35187413453019445,0.13212593297168032,0.5079140981831706,12.097488921713442,1.0,2708
9,3,weekly,20,0.2911880261511199,0.03390692742268797,0.1568646245417013,-0.35317597047786375,0.09600575989586806,0.4003451342215471,12.097488921713442,1.0,2708
9,3,monthly,0,0.40839428539128264,0.05346972872985556,0.15829205929226917,-0.3459561843737978,0.15455636044384952,0.5648774592208388,5.5834564254062045,1.0,2708
9,3,monthly,5,0.3908103935742752,0.05053675302080518,0.1582707247352727,-0.3461767656822363,0.14598539830138121,0.5401146025122897,5.5834564254062045,1.0,2708
9,3,monthly,10,0.3732040396331756,0.047610668601728356,0.15825690437441967,-0.34639734699067437,0.1374452460890531,0.5153666575434536,5.5834564254062045,1.0,2708
9,3,monthly,20,0.337933945638913,0.04177912032478015,0.15825181304547323,-0.34683850960755136,0.1204569826229888,0.4659171198287399,5.5834564254062045,1.0,2708
9,3,quarterly,0,0.2521483464757667,0.028515073028967386,0.16664457950441364,-0.4089223698388377,0.06973224047440985,0.34858810140674973,3.412112259970458,1.0,2708
9,3,quarterly,5,0.24191212899151118,0.026762162842799198,0.16664356272362318,-0.40912171531682306,0.06541369436250684,0.33430339425906974,3.412112259970458,1.0,2708
9,3,quarterly,10,0.23166734039163603,0.025011190706434094,0.16664862144983955,-0.409321060794809,0.06110408943499759,0.3200190848503059,3.412112259970458,1.0,2708
9,3,quarterly,20,0.2111565396537255,0.021515055730022326,0.16667696254618686,-0.40971975175078046,0.05251163908521855,0.2914551733941824,3.412112259970458,1.0,2708
9,4,weekly,0,0.5746605435942215,0.07977137615979468,0.1543256452333689,-0.3503976324998651,0.22765957518227636,0.8062377424616214,8.607828655834565,1.0,2708
9,4,weekly,5,0.5467756728798407,0.07513517103836653,0.1543246143486764,-0.3530127663560767,0.21283981260490514,0.766123373658992,8.607828655834565,1.0,2708
9,4,weekly,10,0.5188665534252697,0.07051762060964539,0.15433068482806986,-0.3556181103428302,0.19829592070455457,0.7260829333159239,8.607828655834565,1.0,2708
9,4,weekly,20,0.46299100658925296,0.0613382038056145,0.15436412554784718,-0.360799564283789,0.17000631341497013,0.64623304728735,8.607828655834565,1.0,2708
9,4,monthly,0,0.5849005207778187,0.07953161736064684,0.15013316808735166,-0.33756565382368986,0.23560340472963553,0.8259626046917538,3.8153618906942395,1.0,2708
